Spectrum  ,      Observed Wavelength Air (nm)     ,        Ritz  Wavelength Air (nm)   
Fe II     ,         261.41896  ,         261.418979 
Fe II     ,         261.43969  ,         261.439953 
Fe I      ,         261.44945  ,         261.449444 
Fe II     ,         261.45839  ,         261.458560 
          ,                    ,                    
Fe II     ,         261.48711  ,         261.487120 
Fe II     ,         261.49822  ,         261.498249 
Fe II     ,         261.54651  ,         261.546505 
Fe II     ,         261.6738   ,         261.673965 
Fe II     ,         261.7383   ,         261.737855 
          ,                    ,                    
Fe II     ,         261.761713 ,         261.761702 
Fe I      ,         261.80179  ,         261.801804 
Fe II     ,         261.86350  ,         261.863664 
Fe II     ,         261.907373 ,         261.907388 
Fe II     ,         261.91053  ,         261.910572 
          ,                    ,                    
Fe II     ,         261.98486  ,         261.984801 
Fe II     ,         262.01715  ,         262.017152 
Fe II     ,         262.02428  ,         262.02417  
Fe II     ,         262.040832 ,         262.040852 
Fe II     ,         262.069492 ,         262.069493 
          ,                    ,                    
Fe II     ,         262.08291  ,         262.082899 
Fe II     ,         262.11106  ,         262.111287 
Fe II     ,         262.166881 ,         262.166876 
Fe II     ,         262.22506  ,         262.225079 
Fe II     ,         262.24460  ,         262.24457  
          ,                    ,                    
Fe II     ,         262.2611   ,         262.261569 
Fe II     ,         262.31302  ,         262.312997 
Fe I      ,         262.35337  ,         262.353360 
Fe II     ,         262.37008  ,         262.370072 
Fe II     ,         262.37251  ,         262.372504 
          ,                    ,                    
Fe II     ,         262.41132  ,         262.411334 
Fe II     ,         262.4539   ,         262.452761 
Fe II     ,         262.4561   ,         262.455855 
Fe II     ,         262.5067   ,         262.506215 
Fe II     ,         262.51854  ,         262.518597 
          ,                    ,                    
Fe II     ,         262.548906 ,         262.548906 
Fe II     ,         262.566685 ,         262.566683 
Fe II     ,         262.650037 ,         262.650042 
Fe II     ,         262.6666   ,         262.666468 
Fe II     ,         262.66969  ,         262.669899 
          ,                    ,                    
Fe II     ,         262.6958   ,         262.694934 
Fe II     ,         262.7551   ,         262.755028 
Fe II     ,         262.7567   ,         262.756734 
Fe II     ,         262.7686   ,         262.768766 
Fe II     ,         262.81975  ,         262.819993 
          ,                    ,                    
Fe II     ,         262.829279 ,         262.829292 
Fe II     ,         262.84992  ,         262.849930 
Fe II     ,         262.85809  ,         262.858113 
Fe II     ,         262.87990  ,         262.879818 
Fe II     ,         262.89446  ,         262.894509 
          ,                    ,                    
Fe II     ,         262.9290   ,         262.928578 
Fe II     ,         262.95705  ,         262.95705  
Fe I      ,                    ,         262.957226 
Fe II     ,         262.958817 ,         262.958832 
Fe II     ,         263.007118 ,         263.007114 
          ,                    ,                    
Fe II     ,         263.01859  ,         263.018443 
Fe II     ,         263.101002 ,         263.100965 
Fe II     ,         263.104679 ,         263.104672 
Fe II     ,         263.132292 ,         263.132285 
Fe II     ,         263.1437   ,         263.142562 
          ,                    ,                    
Fe II     ,         263.160825 ,         263.160823 
Fe II     ,         263.1763   ,         263.176148 
Fe I      ,         263.22375  ,         263.223736 
Fe II     ,         263.25228  ,         263.252247 
Fe II     ,         263.32028  ,         263.320301 
          ,                    ,                    
Fe II     ,         263.3543   ,         263.354848 
Fe II     ,         263.4904   ,         263.490370 
Fe II     ,         263.4904   ,         263.490418 
Fe II     ,         263.4991   ,         263.499072 
Fe II     ,         263.54001  ,         263.540073 
          ,                    ,                    
Fe I      ,         263.57211  ,         263.571918 
Fe I      ,         263.58087  ,         263.580897 
Fe II     ,         263.6696   ,         263.66954  
Fe II     ,         263.6750   ,         263.675484 
Fe II     ,         263.6798   ,         263.678914 
          ,                    ,                    
Fe II     ,         263.6846   ,         263.684103 
Fe II     ,         263.7174   ,         263.717507 
Fe II     ,         263.749718 ,         263.749723 
Fe II     ,         263.764345 ,         263.764349 
Fe II     ,         263.82373  ,         263.82403  
          ,                    ,                    
Fe II     ,         263.956417 ,         263.956401 
Fe I      ,         264.10292  ,         264.102912 
Fe II     ,         264.11242  ,         264.112370 
Fe II     ,         264.14176  ,         264.141818 
Fe I      ,         264.16436  ,         264.164559 
          ,                    ,                    
Fe II     ,         264.164374 ,         264.164161 
Fe II     ,         264.20123  ,         264.201213 
Fe II     ,         264.2390   ,         264.23874  
Fe II     ,         264.2978   ,         264.29768  
Fe II     ,         264.3771   ,         264.37781  
          ,                    ,                    
Fe I      ,         264.39984  ,         264.399839 
Fe II     ,         264.4570   ,         264.456441 
Fe II     ,         264.46274  ,         264.462737 
Fe II     ,         264.49905  ,         264.499020 
Fe II     ,         264.50819  ,         264.508209 
          ,                    ,                    
Fe II     ,         264.51983  ,         264.51969  
Fe II     ,         264.53338  ,         264.53338  
Fe II     ,         264.55233  ,         264.552380 
Fe II     ,         264.5578   ,         264.558212 
Fe II     ,         264.59045  ,         264.590374 
          ,                    ,                    
Fe II     ,         264.60970  ,         264.609677 
Fe II     ,         264.62133  ,         264.621157 
Fe II     ,         264.6322   ,         264.632169 
Fe II     ,         264.70264  ,         264.702530 
Fe II     ,         264.7395   ,         264.739972 
          ,                    ,                    
Fe II     ,         264.76208  ,         264.762024 
Fe II     ,         264.7703   ,         264.770341 
Fe II     ,         264.8537   ,         264.854747 
Fe II     ,         264.86906  ,         264.869000 
Fe II     ,         264.9005   ,         264.899721 
          ,                    ,                    
Fe II     ,         264.92209  ,         264.922081 
Fe II     ,         264.94689  ,         264.946951 
Fe II     ,         264.9973   ,         264.99782  
Fe II     ,         265.00192  ,         265.001974 
Fe II     ,         265.048118 ,         265.048110 
          ,                    ,                    
Fe II     ,         265.07660  ,         265.076574 
Fe II     ,         265.16891  ,         265.168989 
Fe II     ,         265.1840   ,         265.183810 
Fe II     ,         265.25665  ,         265.256612 
Fe II     ,         265.3305   ,         265.330967 
          ,                    ,                    
Fe II     ,         265.35572  ,         265.355724 
Fe II     ,         265.36666  ,         265.366650 
Fe II     ,         265.44020  ,         265.440299 
Fe II     ,         265.46285  ,         265.462848 
Fe II     ,         265.4818   ,         265.481052 
          ,                    ,                    
Fe II     ,         265.5364   ,         265.536047 
Fe II     ,         265.56927  ,         265.569241 
Fe II     ,         265.6039   ,         265.604486 
Fe II     ,         265.60861  ,         265.608678 
Fe I      ,         265.61453  ,         265.614508 
          ,                    ,                    
Fe I      ,         265.67917  ,         265.679150 
Fe II     ,         265.71698  ,         265.717010 
