wavelengths,intensities
292.59869237456326,948.0
292.6714097143332,958.0
292.7441208073097,999.0
292.8168256534928,1008.0
292.8895242528825,985.0
292.96221660547883,969.0
293.03490271128175,949.0
293.10758257029124,947.0
293.1802561825073,959.0
293.25292354793004,959.0
293.32558466655934,951.0
293.3982395383952,988.0
293.4708881634377,1019.0
293.5435305416868,1050.0
293.6161666731425,1058.0
293.68879655780484,1014.0
293.76142019567374,1009.0
293.8340375867492,990.0
293.90664873103134,953.0
293.97925362852004,937.0
294.05185227921527,956.0
294.1244446831172,962.0
294.1970308402257,951.0
294.2696107505408,928.0
294.3421844140625,961.0
294.4147518307908,940.0
294.4873130007257,938.0
294.5598679238672,950.0
294.6324166002153,953.0
294.70495902977,970.0
294.77749521253133,950.0
294.8500251484992,944.0
294.9225488376737,929.0
294.9950662800548,944.0
295.0675774756425,917.0
295.1400824244368,935.0
295.2125811264377,948.0
295.28507358164524,937.0
295.3575597900593,944.0
295.43003975168006,941.0
295.5025134665073,949.0
295.5749809345412,932.0
295.6474421557817,934.0
295.7198971302288,929.0
295.7923458578825,934.0
295.8647883387428,933.0
295.9372245728097,928.0
296.0096545600832,909.0
296.08207830056335,914.0
296.15449579425,905.0
296.22690704114336,917.0
296.2993120412432,925.0
296.3717107945497,943.0
296.4441033010628,937.0
296.51648956078253,928.0
296.5888695737088,926.0
296.6612433398417,913.0
296.7336108591812,945.0
296.80597213172734,929.0
296.87832715748004,936.0
296.95067593643927,928.0
297.0230184686052,924.0
297.0953547539777,928.0
297.1676847925568,953.0
297.2400085843425,946.0
297.3123261293348,934.0
297.38463742753373,916.0
297.4569424789392,919.0
297.5292412835513,933.0
297.60153384137004,916.0
297.67382015239536,905.0
297.7461002166272,915.0
297.8183740340657,933.0
297.8906416047108,920.0
297.9629029285625,925.0
298.0351580056208,921.0
298.10740683588574,933.0
298.17964941935725,965.0
298.25188575603534,959.0
298.32411584592006,947.0
298.39633968901126,949.0
298.4685572853092,964.0
298.5407686348137,944.0
